file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\objectoriented\airbyte\airbyte-integrations\connectors\destination-postgres\src\main\java\io\airbyte\integrations\destination\postgres\typing_deduping\PostgresSqlGenerator.java,io.airbyte.integrations.destination.postgres.typing_deduping.PostgresSqlGenerator,toDialectType/1[io.airbyte.integrations.destination.postgres.typing_deduping.AirbyteProtocolType],false,105,2,2,2,0,2,2,6,2,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1,0,false
D:\objectoriented\airbyte\airbyte-integrations\connectors\destination-postgres\src\main\java\io\airbyte\integrations\destination\postgres\typing_deduping\PostgresSqlGenerator.java,io.airbyte.integrations.destination.postgres.typing_deduping.PostgresSqlGenerator,"castedField/4[io.airbyte.integrations.destination.postgres.typing_deduping.Field<?>,io.airbyte.integrations.destination.postgres.typing_deduping.AirbyteType,java.lang.String,boolean]",false,185,3,1,0,1,1,3,3,1,0,4,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,false
D:\objectoriented\airbyte\airbyte-integrations\connectors\destination-postgres\src\main\java\io\airbyte\integrations\destination\postgres\typing_deduping\PostgresSqlGenerator.java,io.airbyte.integrations.destination.postgres.typing_deduping.PostgresSqlGenerator,"castedField/3[io.airbyte.integrations.destination.postgres.typing_deduping.Field<?>,io.airbyte.integrations.destination.postgres.typing_deduping.AirbyteProtocolType,boolean]",false,232,3,1,0,1,1,2,3,1,0,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,false
D:\objectoriented\airbyte\airbyte-integrations\connectors\destination-postgres\src\main\java\io\airbyte\integrations\destination\postgres\typing_deduping\PostgresSqlGenerator.java,io.airbyte.integrations.destination.postgres.typing_deduping.PostgresSqlGenerator,"toCastingErrorCaseStmt/2[io.airbyte.integrations.destination.postgres.typing_deduping.ColumnId,io.airbyte.integrations.destination.postgres.typing_deduping.AirbyteType]",false,264,3,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,false
D:\objectoriented\airbyte\airbyte-integrations\connectors\destination-postgres\src\main\java\io\airbyte\integrations\destination\postgres\typing_deduping\PostgresSqlGenerator.java,io.airbyte.integrations.destination.postgres.typing_deduping.PostgresSqlGenerator,getStructType/0,false,85,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,0,false
D:\objectoriented\airbyte\airbyte-integrations\connectors\destination-postgres\src\main\java\io\airbyte\integrations\destination\postgres\typing_deduping\PostgresSqlGenerator.java,io.airbyte.integrations.destination.postgres.typing_deduping.PostgresSqlGenerator,getArrayType/0,false,90,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,0,false
D:\objectoriented\airbyte\airbyte-integrations\connectors\destination-postgres\src\main\java\io\airbyte\integrations\destination\postgres\typing_deduping\PostgresSqlGenerator.java,io.airbyte.integrations.destination.postgres.typing_deduping.PostgresSqlGenerator,"getRowNumber/2[java.util.List<io.airbyte.integrations.destination.postgres.typing_deduping.ColumnId>,java.util.Optional<io.airbyte.integrations.destination.postgres.typing_deduping.ColumnId>]",false,299,2,0,0,0,2,14,7,1,4,2,14,0,0,0,1,0,0,2,0,2,0,0,0,0,2,33,4,0,false
D:\objectoriented\airbyte\airbyte-integrations\connectors\destination-postgres\src\main\java\io\airbyte\integrations\destination\postgres\typing_deduping\PostgresSqlGenerator.java,io.airbyte.integrations.destination.postgres.typing_deduping.PostgresSqlGenerator,"createIndexSql/2[io.airbyte.integrations.destination.postgres.typing_deduping.StreamConfig,java.lang.String]",false,153,1,0,0,0,3,18,8,2,1,2,18,0,0,0,1,0,0,0,0,0,1,1,0,0,1,15,4,0,false
D:\objectoriented\airbyte\airbyte-integrations\connectors\destination-postgres\src\main\java\io\airbyte\integrations\destination\postgres\typing_deduping\PostgresSqlGenerator.java,io.airbyte.integrations.destination.postgres.typing_deduping.PostgresSqlGenerator,"castedField/3[io.airbyte.integrations.destination.postgres.typing_deduping.Field<?>,io.airbyte.integrations.destination.postgres.typing_deduping.AirbyteType,boolean]",false,192,6,3,1,2,6,14,24,6,2,3,14,2,1,0,2,0,0,6,0,2,0,2,0,0,0,28,4,0,false
D:\objectoriented\airbyte\airbyte-integrations\connectors\destination-postgres\src\main\java\io\airbyte\integrations\destination\postgres\typing_deduping\PostgresSqlGenerator.java,io.airbyte.integrations.destination.postgres.typing_deduping.PostgresSqlGenerator,"buildAirbyteMetaColumn/1[java.util.LinkedHashMap<io.airbyte.integrations.destination.postgres.typing_deduping.ColumnId,io.airbyte.integrations.destination.postgres.typing_deduping.AirbyteType>]",false,241,4,1,0,1,2,17,6,1,4,1,17,1,1,0,0,0,0,4,0,3,0,0,0,0,1,48,4,0,false
